#shell-id	x	y	z
0	0.697104	-0.127878	0.705474
0	-0.643314	0.302074	0.703490
0	0.746786	-0.545936	0.379821
0	0.212996	0.764996	-0.607794
0	0.978001	-0.130359	0.162850
0	-0.670108	-0.648374	0.361340
0	0.368396	-0.543660	0.754134
0	0.081787	0.391222	-0.916655
0	0.592478	-0.805294	-0.021724
0	0.863690	-0.443205	-0.240018
0	0.908302	0.057718	-0.414314
0	-0.267626	-0.021542	-0.963282
0	-0.128295	0.982009	0.138560
0	0.414939	-0.739256	-0.530401
0	0.242437	-0.890843	0.384217
0	0.271964	-0.080360	-0.958946
0	0.186637	0.843066	0.504386
0	-0.832962	-0.293864	-0.468848
0	-0.926301	-0.375885	0.026031
0	-0.458908	-0.462784	-0.758442
0	0.626525	0.741202	0.241012
0	-0.303541	-0.945798	0.115450
0	-0.061924	0.523410	0.849828
0	-0.590261	-0.305059	0.747349
